sptsx,date,energy,industrial,materials,utilities
6700.2,1998,90.34,72.34,128.28,121.84
7092.49,1998.0833333333333,93.07,77.3,127.4,123.51
7558.5,1998.1666666666667,91.32,82.74,135.57,126.32
7664.99,1998.25,90.76,82.35,139.67,122.14
7589.78,1998.3333333333333,88.21,77.12,127.51,126.8
7366.89,1998.4166666666667,86.98,75.94,119.11,125.23
6931.43,1998.5,71.68,69.65,109.19,115.22
5530.71,1998.5833333333333,56.24,57.86,84.87,103.37
5614.12,1998.6666666666667,67.46,58.67,103.79,111.52
6208.28,1998.75,69.97,63.27,111.49,117.98
6343.87,1998.8333333333333,62.2,66.55,108.59,117.17
6485.94,1998.9166666666667,57.86,64.91,104.16,118.35
6729.56,1999,55.49,63.93,102.12,116.44
6312.69,1999.0833333333333,51.44,61.28,99.36,116.74
6597.79,1999.1666666666667,62.64,60.98,100.97,110.04
7014.7,1999.25,73.57,67.16,115.78,110.82
6841.8,1999.3333333333333,69.03,67.94,104.47,112.39
7010.07,1999.4166666666667,74.49,68.31,113.21,112.24
7081.03,1999.5,79.3,67.95,112.62,110.35
6970.81,1999.5833333333333,81.71,67.81,116.9,108.8
6957.72,1999.6666666666667,77.6,66.67,122.4,104.21
7256.22,1999.75,75.67,66.28,114.07,101.26
7523.23,1999.8333333333333,71.93,67.95,111.08,91.01
8413.75,1999.9166666666667,73.11,67.13,117.83,84.85
8481.11,2000,72.2,69.88,110.3,80.74
9128.99,2000.0833333333333,68.72,78.81,101.28,75.92
9462.39,2000.1666666666667,77.9,78.75,100.4,80.4
9347.61,2000.25,83.06,83.67,106.75,83.9
9251.99,2000.3333333333333,95.15,83.06,107.41,89.75
10195.45,2000.4166666666667,93.02,90.48,103.32,86.08
10406.31,2000.5,87.77,92.76,99.46,88.36
11247.91,2000.5833333333333,95.37,98.15,106.04,97.66
10377.92,2000.6666666666667,100,100,100,100
9639.57,2000.75,91.2,99.71,98.03,109.44
8819.92,2000.8333333333333,93.83,86.71,100.32,110.55
8933.68,2000.9166666666667,106.74,85.71,108.47,121.84
9321.87,2001,98.83,94.91,104.91,110.73
8078.72,2001.0833333333333,105.88,91.49,109.52,121.12
7608,2001.1666666666667,107.4,90.53,108.3,125.52
7946.63,2001.25,116.38,97.16,121.83,121.83
8161.87,2001.3333333333333,118.82,102.28,124.17,126.23
7736.35,2001.4166666666667,107.38,97.6,114.81,125.07
7689.69,2001.5,108.96,97.21,111.7,124.56
7399.22,2001.5833333333333,103.54,86.63,115.4,126.02
6838.56,2001.6666666666667,103.58,69.86,106.95,128.24
6885.7,2001.75,114.64,71.16,106.32,132
7425.65,2001.8333333333333,108.05,83.02,113.02,130.41
7688.41,2001.9166666666667,113.13,92.38,118.9,129.26
7648.49,2002,111.06,90.48,125.67,130.08
7637.5,2002.0833333333333,121.05,90.06,134.56,136.05
7851.47,2002.1666666666667,129.11,93.87,139.75,135.58
7663.39,2002.25,129.93,89.69,138.9,139.43
7656.13,2002.3333333333333,128.26,92.86,146.66,140.89
7145.61,2002.4166666666667,127.81,88.74,137.63,139.75
6605.42,2002.5,122.25,82.68,116.54,133.08
6611.95,2002.5833333333333,126.99,69.48,120.59,135.94
6180.42,2002.6666666666667,127.37,58.87,114.98,136.59
6248.79,2002.75,117.67,64.13,115.06,133.77
6570.42,2002.8333333333333,116.6,65.48,119.63,128.83
6614.54,2002.9166666666667,125.89,63.39,125.33,128.91
6569.49,2003,126.33,61.41,123.02,128.59
6555.12,2003.0833333333333,130.49,59.85,116.43,127.01
6343.29,2003.1666666666667,125.4,54.51,110.27,123.85
6586.07,2003.25,121.61,59.51,108.34,129.15
6859.8,2003.3333333333333,130.67,62.86,110.09,138.06
6983.14,2003.4166666666667,133.98,63.66,111.24,140.17
7257.92,2003.5,132.35,69.81,120.23,145.84
7510.32,2003.5833333333333,138.65,71.6,131.41,145.32
7421.13,2003.6666666666667,135.35,70.68,129.02,141.36
7772.7,2003.75,135.73,74.61,138.36,149.41
7859.39,2003.8333333333333,139.67,72.23,148.5,151.32
8220.89,2003.9166666666667,155.65,77.04,157.69,153.02
8521.39,2004,154.36,77.18,146.48,149.55
8788.49,2004.0833333333333,167.31,77.9,155.31,152
8585.93,2004.1666666666667,166.12,74.63,155,155.87
8243.97,2004.25,164.63,74.71,139.15,149.41
8417.32,2004.3333333333333,165.62,73.29,149.76,143.94
8545.58,2004.4166666666667,169.17,74.16,149.1,141.04
8458.07,2004.5,178.81,71.79,144.7,140.02
8377.03,2004.5833333333333,172.55,69.29,151.21,145.07
8668.29,2004.6666666666667,187.47,68.99,161.87,145.47
8870.97,2004.75,191.91,69.75,157.1,151.41
9030.05,2004.8333333333333,200.98,70.54,168.23,158.08
9246.65,2004.9166666666667,200.29,75.48,166.68,161.49
9204.05,2005,209.89,77.14,159.66,167.55
9668.32,2005.0833333333333,235.78,78.85,174.7,163.53
9612.38,2005.1666666666667,235.48,80.71,165.03,163.18
9369.3,2005.25,222.96,79.51,153.54,163.54
9607.3,2005.3333333333333,235.35,80.97,154.58,169.78
